sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
260,1.917559532284877,0.4482492393761183,4,3,1,2,0,5,10.126631160392048,200,4
261,0.039083606410900223,0.02727723240322116,0,0,0,0,0,2,9.510632550433527,192,2
262,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
263,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
264,0.3938614989893808,0.20513379679906732,22,15,7,1,0,0,9.47013980793075,200,4
265,0.34654560615653046,0.1691788849304853,11,11,0,1,0,0,9.45417629180408,200,3
266,1.9150188315161538,0.9296412635008818,22,15,7,1,0,0,8.872234667727167,200,5
267,5.945657946010235,1.9031152731848047,18,18,0,3,1,7,11.218140846474315,200,4
268,0.3932010479094684,0.18606748734068665,11,11,0,1,0,1,9.45382089353271,200,4
269,0.3694624988267378,0.17513687569374287,11,4,7,2,0,0,9.48486207458186,200,4
270,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
271,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
272,0.39645886383812085,0.21090094970833867,22,15,7,1,0,0,10.15876622411481,200,4
273,0.37064233869793395,0.17583514001276368,11,4,7,2,0,0,9.484824283372415,200,4
274,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
275,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
276,0.3679797515521265,0.16689426894046355,11,4,7,1,0,0,10.020557220078722,200,4
277,0.39914272577698146,0.19430963853633526,11,11,0,1,0,0,9.496473889517269,200,4
278,0.4553508285108704,0.19664088331320667,22,15,7,1,0,0,9.437276320833897,200,4
279,0.3316873423194784,0.13601977072878801,11,7,4,0,0,0,9.81802629211266,192,3
280,1.1487914332455205,0.3571513806993011,22,15,7,1,0,0,8.666482225078923,200,5
281,0.10069861283860024,0.06849343540840358,0,0,0,1,0,0,9.534120886054938,200,3
282,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
283,0.3510079241617267,0.17978393545075688,2,2,0,1,0,0,8.81415861268644,200,3
284,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
285,1.221795926390143,0.36984032949085194,22,15,7,1,0,0,8.656388002139964,200,5
286,0.3484058113128409,0.17941111194934198,6,6,0,1,0,0,9.394701676489488,200,4
287,0.3666376230712132,0.17362756850572078,11,4,7,2,0,0,9.484887279093916,200,4
288,0.3938614989893808,0.20513379679906732,22,15,7,1,0,0,9.47013980793075,200,4
289,0.5442247708275458,0.2954507068929633,0,0,0,2,0,2,9.266525174494596,200,5
290,0.3739520658634786,0.17791637091388135,11,4,7,2,0,0,9.484846390505606,200,4
291,0.0314988249650742,0.020079143816691146,0,0,0,1,0,0,9.636094340050905,200,2
292,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
293,0.38266713970982,0.19545072942683284,11,4,7,2,0,0,8.491655739683074,200,4
294,0.39498011854211657,0.19724250665250073,11,11,0,1,0,0,9.131721754153796,200,4
295,0.3514730926187457,0.16202422801372915,11,7,4,2,0,0,9.473136709142521,200,4
296,0.49829272075555064,0.1879548553711627,22,15,7,1,0,0,9.377025438415984,200,4
297,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
298,0.34654560615653046,0.1691788849304853,11,11,0,1,0,0,9.45417629180408,200,3
299,0.39622899922210664,0.1862151538524073,11,11,0,1,0,0,9.531688628786567,200,4
300,0.37312766030338895,0.17737618552172602,11,4,7,2,0,0,9.478314588278645,200,4
301,0.39230432971340856,0.18333694553157853,7,7,0,1,0,4,9.368223088214995,200,4
302,0.3938614989893808,0.20513379679906732,22,15,7,1,0,0,9.47013980793075,200,4
303,0.34416361271397383,0.1617274440120451,11,4,7,1,0,0,9.398904661609425,200,3
